L: x=0.589 y=0.664 | R: x=0.468 y=0.630 | RAW: x=0.529 y=0.647 | NORM: x=0.595 y=0.989
L: x=0.537 y=1.239 | R: x=0.481 y=1.220 | RAW: x=0.509 y=1.230 | NORM: x=0.530 y=1.000
L: x=0.570 y=0.634 | R: x=0.467 y=0.614 | RAW: x=0.518 y=0.624 | NORM: x=0.561 y=0.915
L: x=0.563 y=0.556 | R: x=0.483 y=0.526 | RAW: x=0.523 y=0.541 | NORM: x=0.577 y=0.638
L: x=0.573 y=0.600 | R: x=0.478 y=0.575 | RAW: x=0.525 y=0.588 | NORM: x=0.584 y=0.793
L: x=0.574 y=0.619 | R: x=0.487 y=0.584 | RAW: x=0.530 y=0.601 | NORM: x=0.601 y=0.837
L: x=0.584 y=0.596 | R: x=0.503 y=0.564 | RAW: x=0.543 y=0.580 | NORM: x=0.644 y=0.766
L: x=0.515 y=0.707 | R: x=0.475 y=0.721 | RAW: x=0.495 y=0.714 | NORM: x=0.484 y=1.000
L: x=0.514 y=3.817 | R: x=0.500 y=1.525 | RAW: x=0.507 y=2.671 | NORM: x=0.524 y=1.000
L: x=0.565 y=0.686 | R: x=0.469 y=0.661 | RAW: x=0.517 y=0.674 | NORM: x=0.556 y=1.000
L: x=0.567 y=0.684 | R: x=0.473 y=0.706 | RAW: x=0.520 y=0.695 | NORM: x=0.566 y=1.000
L: x=0.562 y=0.654 | R: x=0.455 y=0.632 | RAW: x=0.509 y=0.643 | NORM: x=0.528 y=0.977
L: x=0.582 y=0.658 | R: x=0.462 y=0.627 | RAW: x=0.522 y=0.643 | NORM: x=0.573 y=0.976
L: x=0.570 y=0.630 | R: x=0.461 y=0.610 | RAW: x=0.516 y=0.620 | NORM: x=0.552 y=0.902
L: x=0.569 y=0.636 | R: x=0.457 y=0.631 | RAW: x=0.513 y=0.633 | NORM: x=0.544 y=0.945
L: x=0.565 y=0.518 | R: x=0.497 y=0.494 | RAW: x=0.531 y=0.506 | NORM: x=0.603 y=0.520
L: x=0.542 y=0.562 | R: x=0.451 y=0.539 | RAW: x=0.496 y=0.550 | NORM: x=0.487 y=0.668
L: x=0.593 y=0.514 | R: x=0.521 y=0.495 | RAW: x=0.557 y=0.504 | NORM: x=0.690 y=0.515
L: x=0.581 y=0.573 | R: x=0.504 y=0.542 | RAW: x=0.543 y=0.557 | NORM: x=0.643 y=0.691
L: x=0.561 y=0.562 | R: x=0.488 y=0.536 | RAW: x=0.525 y=0.549 | NORM: x=0.582 y=0.662
L: x=0.543 y=0.657 | R: x=0.466 y=0.659 | RAW: x=0.505 y=0.658 | NORM: x=0.516 y=1.000
